# File Name: 2023-12-08_PMMoV_VIC.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313154
# Instrument Serial Number: 272313154
# Heated Cover Serial Number:
# Block serial number: 21211195
# Run Start Date/Time: 2023-12-08 05:41:11 PM EST
# Run End Data/Time: 2023-12-08 06:39:13 PM EST
# Run Duration: 58 minutes 1 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-22 04:00:16 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Standard Curve v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-22 04:00:22 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","FALSE","PR-231116-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1219468452902635","","","22.321291483117378","0.8745236879652916","22.303534940220118","0.057234187022146506","FALSE","0.04","TRUE","3","19"
"2","A2","FALSE","PR-231116-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1244036633088221","","","22.34978634365278","0.8546781248409994","22.303534940220118","0.057234187022146506","FALSE","0.04","TRUE","3","19"
"3","A3","FALSE","PR-231116-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.129549356775549","","","22.239526993890188","0.8435230869779009","22.303534940220118","0.057234187022146506","FALSE","0.04","TRUE","3","19"
"4","A4","FALSE","PR-231117-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1340116058685663","","","23.203418966745907","0.858838582721837","23.15282746740749","0.09111189987495927","FALSE","0.04","TRUE","3","20"
"5","A5","FALSE","PR-231117-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1541590414014362","","","23.047645840108274","0.8580872616368267","23.15282746740749","0.09111189987495927","FALSE","0.04","TRUE","3","20"
"6","A6","FALSE","PR-231117-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.134811530149835","","","23.207417595368298","0.8484161521929685","23.15282746740749","0.09111189987495927","FALSE","0.04","TRUE","3","20"
"7","A7","FALSE","PR-231120-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1429355105303856","","","23.396562029835636","0.8614293762093206","23.43682085547822","0.08841297570148592","FALSE","0.04","TRUE","3","20"
"8","A8","FALSE","PR-231120-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1432434544328736","","","23.538198495917193","0.8526557351472696","23.43682085547822","0.08841297570148592","FALSE","0.04","TRUE","3","20"
"9","A9","FALSE","PR-231120-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1435557735229718","","","23.37570204068183","0.8538935072420601","23.43682085547822","0.08841297570148592","FALSE","0.04","TRUE","3","20"
"10","A10","FALSE","800000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.133188258535151","","","18.50167388968267","0.8405339287899637","19.144739961993757","0.5609397888253516","FALSE","0.04","TRUE","3","15"
"11","A11","FALSE","800000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1272321001581393","","","19.53337714607799","0.853049443229911","19.144739961993757","0.5609397888253516","FALSE","0.04","TRUE","3","16"
"12","A12","FALSE","800000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1131044988850864","","","19.39916885022061","0.8433466939331095","19.144739961993757","0.5609397888253516","FALSE","0.04","TRUE","3","16"
