# File Name: 2023-11-14_PMMoV_VIC.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313154
# Instrument Serial Number: 272313154
# Heated Cover Serial Number:
# Block serial number: 21211195
# Run Start Date/Time: 2023-11-14 05:24:18 PM EST
# Run End Data/Time: 2023-11-14 06:23:09 PM EST
# Run Duration: 58 minutes 51 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-22 03:56:57 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Standard Curve v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-22 03:57:10 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","FALSE","PR-231026-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1648164183103837","","","22.877731395644048","0.8747822385326903","22.922606093627007","0.06029220218965937","FALSE","0.04","TRUE","3","20"
"2","A2","FALSE","PR-231026-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1661648963392943","","","22.898947393377497","0.8591363492300347","22.922606093627007","0.06029220218965937","FALSE","0.04","TRUE","3","20"
"3","A3","FALSE","PR-231026-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1695660399535066","","","22.99113949185947","0.8550335336134249","22.922606093627007","0.06029220218965937","FALSE","0.04","TRUE","3","20"
"4","A4","FALSE","PR-231101-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1803716012227419","","","22.273735548909485","0.8635567312764977","22.260576478105225","0.033222272509547617","FALSE","0.04","TRUE","3","19"
"5","A5","FALSE","PR-231101-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1802552418078642","","","22.285203489009852","0.8656609380264477","22.260576478105225","0.033222272509547617","FALSE","0.04","TRUE","3","19"
"6","A6","FALSE","PR-231101-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1791768938723928","","","22.22279039639634","0.8619985933564211","22.260576478105225","0.033222272509547617","FALSE","0.04","TRUE","3","19"
"7","A7","FALSE","D-231018-NorthB","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1765059242489393","","","21.802620556389215","0.8524117525532144","21.82889616682864","0.022759291856995878","FALSE","0.04","TRUE","3","19"
"8","A8","FALSE","D-231018-NorthB","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.174387212868351","","","21.842457750061378","0.8551310659799938","21.82889616682864","0.022759291856995878","FALSE","0.04","TRUE","3","19"
"9","A9","FALSE","D-231018-NorthB","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1732856034432386","","","21.84161019403532","0.854023365013948","21.82889616682864","0.022759291856995878","FALSE","0.04","TRUE","3","19"
"10","A10","FALSE","PR-231103-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1726200163688543","","","22.11405409527363","0.8579740573455628","22.10674510707574","0.058699351781291306","FALSE","0.04","TRUE","3","19"
"11","A11","FALSE","PR-231103-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1646092832188883","","","22.0447335404138","0.8651586682581939","22.10674510707574","0.058699351781291306","FALSE","0.04","TRUE","3","19"
"12","A12","FALSE","PR-231103-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1661087988295655","","","22.16144768553979","0.8585177491409713","22.10674510707574","0.058699351781291306","FALSE","0.04","TRUE","3","19"
"13","B1","FALSE","PR-231026-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1639313042542285","","","22.65726988735117","0.8588436801441085","22.639270400367774","0.017227484027629136","FALSE","0.04","TRUE","3","19"
"14","B2","FALSE","PR-231026-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1701152187805832","","","22.637605509100148","0.8606106236714179","22.639270400367774","0.017227484027629136","FALSE","0.04","TRUE","3","19"
"15","B3","FALSE","PR-231026-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.173221610874455","","","22.622935804652002","0.8601521426256995","22.639270400367774","0.017227484027629136","FALSE","0.04","TRUE","3","19"
"16","B4","FALSE","PR-231101-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1713892617719832","","","22.986510584674107","0.8670730773541073","22.971856608808945","0.03306922038030756","FALSE","0.04","TRUE","3","20"
"17","B5","FALSE","PR-231101-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1738062548874384","","","22.995066796256225","0.8682431175455749","22.971856608808945","0.03306922038030756","FALSE","0.04","TRUE","3","20"
"18","B6","FALSE","PR-231101-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1687860975595525","","","22.933992445496493","0.8664339272575338","22.971856608808945","0.03306922038030756","FALSE","0.04","TRUE","3","20"
"19","B7","FALSE","D-231018-SouthB","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1825740430422438","","","22.477681436081895","0.8607383518636672","22.57380457433399","0.09395217433571199","FALSE","0.04","TRUE","3","19"
"20","B8","FALSE","D-231018-SouthB","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1778443745070755","","","22.578308505992254","0.8613509719228715","22.57380457433399","0.09395217433571199","FALSE","0.04","TRUE","3","19"
"21","B9","FALSE","D-231018-SouthB","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.17508639706477","","","22.665423780927824","0.8573039731718116","22.57380457433399","0.09395217433571199","FALSE","0.04","TRUE","3","19"
"22","B10","FALSE","PR-231103-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1733200979885383","","","22.565317231453207","0.8468192446273889","22.635151280679185","0.060487912495291625","FALSE","0.04","TRUE","3","19"
"23","B11","FALSE","PR-231103-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1731320012469557","","","22.671159971208297","0.862324919369931","22.635151280679185","0.060487912495291625","FALSE","0.04","TRUE","3","19"
"24","B12","FALSE","PR-231103-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1721124753168244","","","22.668976639376055","0.8667144034646976","22.635151280679185","0.060487912495291625","FALSE","0.04","TRUE","3","20"
"25","C1","FALSE","PR-231026-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.168760752275158","","","22.860662841289766","0.8643932192907743","22.776346298493888","0.07813945887908337","FALSE","0.04","TRUE","3","20"
"26","C2","FALSE","PR-231026-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1723597813082964","","","22.76200556638637","0.8672463266218337","22.776346298493888","0.07813945887908337","FALSE","0.04","TRUE","3","20"
"27","C3","FALSE","PR-231026-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1811679956880154","","","22.706370487805515","0.8619287724796082","22.776346298493888","0.07813945887908337","FALSE","0.04","TRUE","3","20"
"28","C4","FALSE","PR-231101-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1787885466058439","","","21.809730798019324","0.8526197960016689","21.766441409525893","0.03874368348799097","FALSE","0.04","TRUE","3","19"
"29","C5","FALSE","PR-231101-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1865568085358589","","","21.73501946396835","0.8570050882425561","21.766441409525893","0.03874368348799097","FALSE","0.04","TRUE","3","19"
"30","C6","FALSE","PR-231101-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1846002101243813","","","21.75457396659","0.8582169946566373","21.766441409525893","0.03874368348799097","FALSE","0.04","TRUE","3","19"
"31","C7","FALSE","D-231018-SS-B","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1637743779077117","","","22.183672944115926","0.8674497997198403","22.251220801231824","0.09058021514807107","FALSE","0.04","TRUE","3","19"
"32","C8","FALSE","D-231018-SS-B","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1851355686421097","","","22.215837368463767","0.8600942701627957","22.251220801231824","0.09058021514807107","FALSE","0.04","TRUE","3","19"
"33","C9","FALSE","D-231018-SS-B","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.180546488457835","","","22.35415209111578","0.8631733182040281","22.251220801231824","0.09058021514807107","FALSE","0.04","TRUE","3","19"
"34","C10","FALSE","PR-231103-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1806435120975645","","","22.73797763140299","0.8621133635559767","22.695124469965382","0.042438179908252105","FALSE","0.04","TRUE","3","20"
"35","C11","FALSE","PR-231103-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1710063020747572","","","22.694281961490105","0.8292692092921821","22.695124469965382","0.042438179908252105","FALSE","0.04","TRUE","3","20"
"36","C12","FALSE","PR-231103-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1736175607666615","","","22.653113817003053","0.8664743706906277","22.695124469965382","0.042438179908252105","FALSE","0.04","TRUE","3","19"
"37","D1","FALSE","PR-231031-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1643395054133088","","","22.882547237491295","0.8575452404010336","22.914914444848396","0.03594568566853258","FALSE","0.04","TRUE","3","20"
"38","D2","FALSE","PR-231031-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.17212797131831","","","22.9536006091364","0.856454466400994","22.914914444848396","0.03594568566853258","FALSE","0.04","TRUE","3","20"
"39","D3","FALSE","PR-231031-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.179207544945137","","","22.908595487917495","0.8593975746180049","22.914914444848396","0.03594568566853258","FALSE","0.04","TRUE","3","20"
"40","D4","FALSE","D-231018-NorthA","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.180656327019989","","","22.121963932947672","0.8628582349342558","22.171232117310808","0.07749543905084891","FALSE","0.04","TRUE","3","19"
"41","D5","FALSE","D-231018-NorthA","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1715670973810448","","","22.260557998620847","0.8639463215229617","22.171232117310808","0.07749543905084891","FALSE","0.04","TRUE","3","19"
"42","D6","FALSE","D-231018-NorthA","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1842378787583665","","","22.131174420363912","0.860437560371754","22.171232117310808","0.07749543905084891","FALSE","0.04","TRUE","3","19"
"43","D7","FALSE","PR-231102-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.188009758661263","","","22.250939479540918","0.8605375250484625","22.267911933197535","0.05224704674215683","FALSE","0.04","TRUE","3","19"
"44","D8","FALSE","PR-231102-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1861099685794696","","","22.226261289801165","0.8595742692954849","22.267911933197535","0.05224704674215683","FALSE","0.04","TRUE","3","19"
"45","D9","FALSE","PR-231102-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.184787228711944","","","22.326535030250525","0.858623994491801","22.267911933197535","0.05224704674215683","FALSE","0.04","TRUE","3","19"
"46","D10","FALSE","Std 1","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.161247085474137","","","20.050557697343933","0.8524656283073697","20.010121058462527","0.10594810223489663","FALSE","0.04","TRUE","3","17"
"47","D11","FALSE","Std 1","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1734388641384312","","","19.889909444026145","0.8511171525008551","20.010121058462527","0.10594810223489663","FALSE","0.04","TRUE","3","17"
"48","D12","FALSE","Std 1","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1618464627775607","","","20.0898960340175","0.8715986251359695","20.010121058462527","0.10594810223489663","FALSE","0.04","TRUE","3","17"
"49","E1","FALSE","PR-231031-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.173195787038884","","","22.454936288792908","0.8651441468177028","22.43705156032757","0.04915891933195311","FALSE","0.04","TRUE","3","19"
"50","E2","FALSE","PR-231031-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1781657370482714","","","22.474764332099895","0.8616992860560415","22.43705156032757","0.04915891933195311","FALSE","0.04","TRUE","3","19"
"51","E3","FALSE","PR-231031-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1821586437047713","","","22.381454060089908","0.861839053655481","22.43705156032757","0.04915891933195311","FALSE","0.04","TRUE","3","19"
"52","E4","FALSE","D-231018-SouthA","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1786512399607556","","","22.547993476799064","0.8647759766326526","22.58597611331426","0.03296996013633579","FALSE","0.04","TRUE","3","19"
"53","E5","FALSE","D-231018-SouthA","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1821967350361333","","","22.607205234953028","0.8635673945338039","22.58597611331426","0.03296996013633579","FALSE","0.04","TRUE","3","19"
"54","E6","FALSE","D-231018-SouthA","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1752636858291423","","","22.602729628190687","0.8621880859781719","22.58597611331426","0.03296996013633579","FALSE","0.04","TRUE","3","19"
"55","E7","FALSE","PR-231102-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1765691572564172","","","22.90489116644074","0.8642877635456355","22.851924490721142","0.046080038406754446","FALSE","0.04","TRUE","3","20"
"56","E8","FALSE","PR-231102-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.175455369106509","","","22.821051575771016","0.8632353939663198","22.851924490721142","0.046080038406754446","FALSE","0.04","TRUE","3","20"
"57","E9","FALSE","PR-231102-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1801790455051244","","","22.82983072995166","0.8614899642880993","22.851924490721142","0.046080038406754446","FALSE","0.04","TRUE","3","20"
"58","E10","FALSE","Std 2","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1831103762192408","","","23.035671512030177","0.8612838864621885","23.06952008862663","0.1966780726276904","FALSE","0.04","TRUE","3","20"
"59","E11","FALSE","Std 2","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1734223549294998","","","22.891963093379637","0.862273686961728","23.06952008862663","0.1966780726276904","FALSE","0.04","TRUE","3","20"
"60","E12","FALSE","Std 2","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1772770958215757","","","23.280925660470068","0.8599596654097179","23.06952008862663","0.1966780726276904","FALSE","0.04","TRUE","3","20"
"61","F1","FALSE","PR-231031-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1706210435274997","","","22.627505042548087","0.8665039950046024","22.579619835700175","0.05967780177095902","FALSE","0.04","TRUE","3","19"
"62","F2","FALSE","PR-231031-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1752266398776117","","","22.598592209244593","0.862755451648382","22.579619835700175","0.05967780177095902","FALSE","0.04","TRUE","3","19"
"63","F3","FALSE","PR-231031-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1809932429290368","","","22.51276225530784","0.8608709523856112","22.579619835700175","0.05967780177095902","FALSE","0.04","TRUE","3","19"
"64","F4","FALSE","D-231018-SS-A","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.176017523300251","","","21.79632058501153","0.8675939171720655","21.817956091925595","0.043147754746231774","FALSE","0.04","TRUE","3","19"
"65","F5","FALSE","D-231018-SS-A","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.177578360584089","","","21.867641021378645","0.8681668971354576","21.817956091925595","0.043147754746231774","FALSE","0.04","TRUE","3","19"
"66","F6","FALSE","D-231018-SS-A","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1766393435605622","","","21.789906669386617","0.8690454856203075","21.817956091925595","0.043147754746231774","FALSE","0.04","TRUE","3","19"
"67","F7","FALSE","PR-231102-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.151378343049799","","","22.84348170794331","0.8764150743145567","22.79744354251117","0.03991557635271144","FALSE","0.04","TRUE","3","20"
"68","F8","FALSE","PR-231102-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.182702447517511","","","22.772522164279415","0.8673757576771407","22.79744354251117","0.03991557635271144","FALSE","0.04","TRUE","3","20"
"69","F9","FALSE","PR-231102-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.182342382531823","","","22.776326755310784","0.8632804160216445","22.79744354251117","0.03991557635271144","FALSE","0.04","TRUE","3","20"
