# File Name: 2023-11-17_PMMoV_VIC.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313154
# Instrument Serial Number: 272313154
# Heated Cover Serial Number:
# Block serial number: 21211195
# Run Start Date/Time: 2023-11-17 05:02:20 PM EST
# Run End Data/Time: 2023-11-17 06:02:43 PM EST
# Run Duration: 60 minutes 22 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-22 03:59:00 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Standard Curve v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-22 03:59:07 PM EDT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","1","PMMoV","0.2822584807872772","-0.014512445558519924","PR-231108-DNI-R1","FALSE"
"1","A1","2","PMMoV","0.2852431535720825","-0.01357302047750529","PR-231108-DNI-R1","FALSE"
"1","A1","3","PMMoV","0.292273610830307","-0.008587810923071468","PR-231108-DNI-R1","FALSE"
"1","A1","4","PMMoV","0.29918530583381653","-0.003721363623352612","PR-231108-DNI-R1","FALSE"
"1","A1","5","PMMoV","0.30402228236198425","-9.296347989755519E-4","PR-231108-DNI-R1","FALSE"
"1","A1","6","PMMoV","0.3087376058101654","0.0017404409454149358","PR-231108-DNI-R1","FALSE"
"1","A1","7","PMMoV","0.31278637051582336","0.00374395794728223","PR-231108-DNI-R1","FALSE"
"1","A1","8","PMMoV","0.3148232400417328","0.0037355797694009893","PR-231108-DNI-R1","FALSE"
"1","A1","9","PMMoV","0.3172944486141205","0.00416154063799802","PR-231108-DNI-R1","FALSE"
"1","A1","10","PMMoV","0.31870824098587036","0.003530085305957233","PR-231108-DNI-R1","FALSE"
"1","A1","11","PMMoV","0.3195282816886902","0.0023048783049863927","PR-231108-DNI-R1","FALSE"
"1","A1","12","PMMoV","0.3209916353225708","0.0017229842350763433","PR-231108-DNI-R1","FALSE"
"1","A1","13","PMMoV","0.32301393151283264","0.0017000327215475194","PR-231108-DNI-R1","FALSE"
"1","A1","14","PMMoV","0.3235451281070709","1.8598161199513599E-4","PR-231108-DNI-R1","FALSE"
"1","A1","15","PMMoV","0.3242416977882385","-0.0011626964106279261","PR-231108-DNI-R1","FALSE"
"1","A1","16","PMMoV","0.3255329430103302","-0.001916698892326916","PR-231108-DNI-R1","FALSE"
"1","A1","17","PMMoV","0.3272141218185425","-0.0022807677879053004","PR-231108-DNI-R1","FALSE"
"1","A1","18","PMMoV","0.32908207178115845","-0.0024580655290799983","PR-231108-DNI-R1","FALSE"
"1","A1","19","PMMoV","0.3318169414997101","-0.0017684435143190272","PR-231108-DNI-R1","FALSE"
"1","A1","20","PMMoV","0.3380277752876282","0.002397142569808399","PR-231108-DNI-R1","FALSE"
"1","A1","21","PMMoV","0.34855279326438904","0.0108769128427786","PR-231108-DNI-R1","FALSE"
"1","A1","22","PMMoV","0.3667857050895691","0.02706457696416799","PR-231108-DNI-R1","FALSE"
"1","A1","23","PMMoV","0.39769360423088074","0.05592722840168897","PR-231108-DNI-R1","FALSE"
"1","A1","24","PMMoV","0.4446301758289337","0.10081855229595128","PR-231108-DNI-R1","FALSE"
"1","A1","25","PMMoV","0.5118802189826965","0.16602334774592342","PR-231108-DNI-R1","FALSE"
"1","A1","26","PMMoV","0.5956950783729553","0.24779295943239155","PR-231108-DNI-R1","FALSE"
"1","A1","27","PMMoV","0.6912208795547485","0.3412735129103941","PR-231108-DNI-R1","FALSE"
