# File Name: DEC_PMMoV_REDO_VIC.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313154
# Instrument Serial Number: 272313154
# Heated Cover Serial Number:
# Block serial number: 21211195
# Run Start Date/Time: 2024-03-15 11:37:54 AM EDT
# Run End Data/Time: 2024-03-15 12:35:56 PM EDT
# Run Duration: 58 minutes 2 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-22 04:13:36 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Standard Curve v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-22 04:13:43 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"24","B12","FALSE","80000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.0866253429959245","","","23.13046059731588","0.8445135681022069","22.76108163704701","0.38899274166531495","FALSE","0.04","TRUE","3","20"
"25","C1","FALSE","PR-231204-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0948432892444977","","","23.077110367290423","0.8419682346314521","23.06658130761078","0.039830803168832335","FALSE","0.04","TRUE","3","20"
"26","C2","FALSE","PR-231204-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0972481516855912","","","23.10008979748641","0.8041315537446728","23.06658130761078","0.039830803168832335","FALSE","0.04","TRUE","3","20"
"27","C3","FALSE","PR-231204-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.097546681213549","","","23.022543758055498","0.8356109374513199","23.06658130761078","0.039830803168832335","FALSE","0.04","TRUE","3","20"
"28","C4","FALSE","PR-231207-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0989283039745141","","","24.14301038566959","0.8424670799937307","23.685179469215115","0.4097269428606238","FALSE","0.04","TRUE","3","21"
"29","C5","FALSE","PR-231207-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0951995207790406","","","23.559556346908067","0.8391089213667466","23.685179469215115","0.4097269428606238","FALSE","0.04","TRUE","3","20"
"30","C6","FALSE","PR-231207-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1012270266373418","","","23.35297167506768","0.8387355050263801","23.685179469215115","0.4097269428606238","FALSE","0.04","TRUE","3","20"
"31","C7","FALSE","PR-231206-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","FALSE","0.04","TRUE","3","39"
"32","C8","FALSE","PR-231206-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.099019483725708","","","23.678079224950388","0.8334073209385816","23.766761623956945","0.12541585141866649","FALSE","0.04","TRUE","3","20"
"33","C9","FALSE","PR-231206-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1027123431698393","","","23.855444022963503","0.842630742475795","23.766761623956945","0.12541585141866649","FALSE","0.04","TRUE","3","21"
