# File Name: 2023-12-20_Cov2_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313154
# Instrument Serial Number: 272313154
# Heated Cover Serial Number:
# Block serial number: 21211195
# Run Start Date/Time: 2023-12-20 12:23:10 PM EST
# Run End Data/Time: 2023-12-20 01:24:24 PM EST
# Run Duration: 61 minutes 14 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-22 04:01:11 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Standard Curve v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-22 04:01:17 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","FALSE","PR-231127-NEG-R1","Cov2","UNKNOWN","FAM","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","FALSE","0.12","TRUE","3","39"
"2","A2","FALSE","PR-231127-NEG-R1","Cov2","UNKNOWN","FAM","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","FALSE","0.12","TRUE","3","39"
"3","A3","FALSE","PR-231127-NEG-R1","Cov2","UNKNOWN","FAM","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","FALSE","0.12","TRUE","3","39"
"4","A4","FALSE","PR-231128-DNI-R1","Cov2","UNKNOWN","FAM","NFQ-MGB","AMP","1.3313694374303504","","","30.036725654848148","0.9892413086156391","30.008064719379234","0.03880356636601759","FALSE","0.12","TRUE","3","25"
"5","A5","FALSE","PR-231128-DNI-R1","Cov2","UNKNOWN","FAM","NFQ-MGB","AMP","1.3388354014185968","","","30.02356091498909","0.9899742837689999","30.008064719379234","0.03880356636601759","FALSE","0.12","TRUE","3","25"
"6","A6","FALSE","PR-231128-DNI-R1","Cov2","UNKNOWN","FAM","NFQ-MGB","AMP","1.3080613879348555","","","29.963907588300472","0.9916262758059687","30.008064719379234","0.03880356636601759","FALSE","0.12","TRUE","3","25"
"7","A7","FALSE","PR-231129-DNI-R1","Cov2","UNKNOWN","FAM","NFQ-MGB","AMP","1.3365974444279631","","","29.666413950087204","0.9935881148258299","29.512621664877575","0.13318805521613772","FALSE","0.12","TRUE","3","25"
"8","A8","FALSE","PR-231129-DNI-R1","Cov2","UNKNOWN","FAM","NFQ-MGB","AMP","1.3037229901444611","","","29.435637149451154","0.9904405294023868","29.512621664877575","0.13318805521613772","FALSE","0.12","TRUE","3","25"
"9","A9","FALSE","PR-231129-DNI-R1","Cov2","UNKNOWN","FAM","NFQ-MGB","AMP","1.2554845831956287","","","29.43581389509437","0.9912759156300348","29.512621664877575","0.13318805521613772","FALSE","0.12","TRUE","3","25"
"10","A10","FALSE","10000.0","Cov2","STANDARD","FAM","NFQ-MGB","AMP","1.3012565931753701","","","22.73787311887724","0.9893262725932792","22.814768698368272","0.07643881700433527","FALSE","0.12","TRUE","3","18"
