# File Name: 2024-02-23_PMMoV_VIC.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313154
# Instrument Serial Number: 272313154
# Heated Cover Serial Number:
# Block serial number: 21211195
# Run Start Date/Time: 2024-02-23 03:38:37 PM EST
# Run End Data/Time: 2024-02-23 04:36:40 PM EST
# Run Duration: 58 minutes 3 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-22 04:05:47 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Standard Curve v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-22 04:05:57 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","FALSE","PR-221218-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1085202483879213","","","23.04154715702299","0.8697078370533037","22.988167119220762","0.06481682322346179","FALSE","0.04","TRUE","3","20"
"2","A2","FALSE","PR-221218-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1143596172900192","","","23.006910009603622","0.8444538684208489","22.988167119220762","0.06481682322346179","FALSE","0.04","TRUE","3","20"
"3","A3","FALSE","PR-221218-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.117175826649575","","","22.916044191035674","0.8405892174851628","22.988167119220762","0.06481682322346179","FALSE","0.04","TRUE","3","20"
"4","A4","FALSE","PR-231219-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0948287585227943","","","24.383524106423174","0.8494064871282151","24.334128364316","0.06439995967683314","FALSE","0.04","TRUE","3","21"
"5","A5","FALSE","PR-231219-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0907780893558077","","","24.26129110914821","0.8517746576643382","24.334128364316","0.06439995967683314","FALSE","0.04","TRUE","3","21"
"6","A6","FALSE","PR-231219-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0976116718511009","","","24.357569877376612","0.8463687413781582","24.334128364316","0.06439995967683314","FALSE","0.04","TRUE","3","21"
"7","A7","FALSE","PR-231220-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0920899580025072","","","24.01244392769634","0.8547150608892878","24.183208406260974","0.1741154442016393","FALSE","0.04","TRUE","3","21"
"8","A8","FALSE","PR-231220-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0980269624160712","","","24.17668957071163","0.847178682770935","24.183208406260974","0.1741154442016393","FALSE","0.04","TRUE","3","21"
"9","A9","FALSE","PR-231220-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1157044403983467","","","24.360491720374945","0.8457764025752862","24.183208406260974","0.1741154442016393","FALSE","0.04","TRUE","3","21"
"10","A10","FALSE","800000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1194068220042768","","","18.49143791602691","0.8390684405091712","18.71660705643303","0.2143916515276032","FALSE","0.04","TRUE","3","15"
"11","A11","FALSE","800000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1189616671084355","","","18.740096599269663","0.8418090406335483","18.71660705643303","0.2143916515276032","FALSE","0.04","TRUE","3","16"
"12","A12","FALSE","800000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1147545623711075","","","18.918286654002515","0.8378333575262498","18.71660705643303","0.2143916515276032","FALSE","0.04","TRUE","3","16"
"13","B1","FALSE","PR-231218-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.116508694219806","","","23.447624599033205","0.8459879144223517","23.429643620741263","0.06149386067157438","FALSE","0.04","TRUE","3","20"
"14","B2","FALSE","PR-231218-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1249180098568208","","","23.480142695513024","0.841068363484463","23.429643620741263","0.06149386067157438","FALSE","0.04","TRUE","3","20"
