# File Name: 2023-12-08_PMMoV_VIC.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313154
# Instrument Serial Number: 272313154
# Heated Cover Serial Number:
# Block serial number: 21211195
# Run Start Date/Time: 2023-12-08 05:41:11 PM EST
# Run End Data/Time: 2023-12-08 06:39:13 PM EST
# Run Duration: 58 minutes 1 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-22 04:00:16 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Standard Curve v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-22 04:00:22 PM EDT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","1","PMMoV","0.2849719226360321","-0.012087395670367224","PR-231116-DNI-R1","FALSE"
"1","A1","2","PMMoV","0.28771159052848816","-0.011475282118600955","PR-231116-DNI-R1","FALSE"
"1","A1","3","PMMoV","0.2945299446582794","-0.00678448232949948","PR-231116-DNI-R1","FALSE"
"1","A1","4","PMMoV","0.30067378282546997","-0.0027681985029987142","PR-231116-DNI-R1","FALSE"
"1","A1","5","PMMoV","0.3048146069049835","-7.549287641749501E-4","PR-231116-DNI-R1","FALSE"
"1","A1","6","PMMoV","0.30851393938064575","8.168493707974957E-4","PR-231116-DNI-R1","FALSE"
"1","A1","7","PMMoV","0.31233641505241394","0.002511770701875843","PR-231116-DNI-R1","FALSE"
"1","A1","8","PMMoV","0.3145160973072052","0.002563898615977317","PR-231116-DNI-R1","FALSE"
"1","A1","9","PMMoV","0.3174607455730438","0.0033809925411261545","PR-231116-DNI-R1","FALSE"
"1","A1","10","PMMoV","0.3195652365684509","0.0033579291958434733","PR-231116-DNI-R1","FALSE"
"1","A1","11","PMMoV","0.32165825366973877","0.0033233919564415295","PR-231116-DNI-R1","FALSE"
"1","A1","12","PMMoV","0.32266858220100403","0.0022061661470170026","PR-231116-DNI-R1","FALSE"
"1","A1","13","PMMoV","0.32340991497039795","8.199445757211378E-4","PR-231116-DNI-R1","FALSE"
"1","A1","14","PMMoV","0.3247412443161011","2.371958073447717E-5","PR-231116-DNI-R1","FALSE"
"1","A1","15","PMMoV","0.32520607113838196","-0.0016390079376744247","PR-231116-DNI-R1","FALSE"
"1","A1","16","PMMoV","0.32707855105400085","-0.0018940823627453139","PR-231116-DNI-R1","FALSE"
"1","A1","17","PMMoV","0.32875165343284607","-0.0023485343245898847","PR-231116-DNI-R1","FALSE"
"1","A1","18","PMMoV","0.3307437598705292","-0.002483982227596565","PR-231116-DNI-R1","FALSE"
"1","A1","19","PMMoV","0.3350238502025604","-3.3144623625510055E-4","PR-231116-DNI-R1","FALSE"
"1","A1","20","PMMoV","0.34115394949913025","0.003671098719624938","PR-231116-DNI-R1","FALSE"
"1","A1","21","PMMoV","0.35254979133605957","0.012939386215864417","PR-231116-DNI-R1","FALSE"
"1","A1","22","PMMoV","0.37244242429733276","0.030704464836447825","PR-231116-DNI-R1","FALSE"
"1","A1","23","PMMoV","0.4072188436985016","0.06335332989692687","PR-231116-DNI-R1","FALSE"
"1","A1","24","PMMoV","0.4597892165184021","0.11379614837613759","PR-231116-DNI-R1","FALSE"
"1","A1","25","PMMoV","0.5321605801582336","0.18403995767527934","PR-231116-DNI-R1","FALSE"
"1","A1","26","PMMoV","0.6205050945281982","0.2702569177045542","PR-231116-DNI-R1","FALSE"
"1","A1","27","PMMoV","0.7156259417533875","0.3632502105890536","PR-231116-DNI-R1","FALSE"
"1","A1","28","PMMoV","0.810479462146759","0.4559761766417354","PR-231116-DNI-R1","FALSE"
"1","A1","29","PMMoV","0.8971807360649109","0.5405498962191975","PR-231116-DNI-R1","FALSE"
"1","A1","30","PMMoV","0.9694972634315491","0.6107388692451459","PR-231116-DNI-R1","FALSE"
"1","A1","31","PMMoV","1.0258095264434814","0.6649235779163883","PR-231116-DNI-R1","FALSE"
"1","A1","32","PMMoV","1.0704160928726196","0.7074025900048367","PR-231116-DNI-R1","FALSE"
"1","A1","33","PMMoV","1.1067572832107544","0.7416162260022817","PR-231116-DNI-R1","FALSE"
"1","A1","34","PMMoV","1.1371031999588013","0.7698345884096388","PR-231116-DNI-R1","FALSE"
"1","A1","35","PMMoV","1.164324164390564","0.7949279985007117","PR-231116-DNI-R1","FALSE"
"1","A1","36","PMMoV","1.1898541450500488","0.8183304248195068","PR-231116-DNI-R1","FALSE"
"1","A1","37","PMMoV","1.2136234045028687","0.8399721299316368","PR-231116-DNI-R1","FALSE"
"1","A1","38","PMMoV","1.2355241775512695","0.8597453486393479","PR-231116-DNI-R1","FALSE"
"1","A1","39","PMMoV","1.2550673484802246","0.8771609652276132","PR-231116-DNI-R1","FALSE"
"1","A1","40","PMMoV","1.2708605527877808","0.8908266151944796","PR-231116-DNI-R1","FALSE"
"2","A2","1","PMMoV","0.2817578911781311","-0.016402677431994785","PR-231116-DNI-R1","FALSE"
"2","A2","2","PMMoV","0.284697026014328","-0.015800513107987003","PR-231116-DNI-R1","FALSE"
"2","A2","3","PMMoV","0.29467952251434326","-0.008154987120160865","PR-231116-DNI-R1","FALSE"
"2","A2","4","PMMoV","0.30108821392059326","-0.004083266226099983","PR-231116-DNI-R1","FALSE"
"2","A2","5","PMMoV","0.30693966150283813","-5.687891560442276E-4","PR-231116-DNI-R1","FALSE"
"2","A2","6","PMMoV","0.3115972876548767","0.0017518664838052284","PR-231116-DNI-R1","FALSE"
"2","A2","7","PMMoV","0.3157550096511841","0.0035726179679234833","PR-231116-DNI-R1","FALSE"
"2","A2","8","PMMoV","0.3184428811073303","0.003923518911880605","PR-231116-DNI-R1","FALSE"
"2","A2","9","PMMoV","0.3207213878631592","0.0038650551555203445","PR-231116-DNI-R1","FALSE"
"2","A2","10","PMMoV","0.32313263416290283","0.003939330943074878","PR-231116-DNI-R1","FALSE"
"2","A2","11","PMMoV","0.32405009865760803","0.0025198249255909606","PR-231116-DNI-R1","FALSE"
"2","A2","12","PMMoV","0.3254531919956207","0.0015859477514145377","PR-231116-DNI-R1","FALSE"
"2","A2","13","PMMoV","0.32680219411849976","5.979793621044478E-4","PR-231116-DNI-R1","FALSE"
"2","A2","14","PMMoV","0.3286549150943756","1.1372982579118405E-4","PR-231116-DNI-R1","FALSE"
"2","A2","15","PMMoV","0.3300120532512665","-8.66102529507065E-4","PR-231116-DNI-R1","FALSE"
"2","A2","16","PMMoV","0.3312413990497589","-0.0019737272432037516","PR-231116-DNI-R1","FALSE"
"2","A2","17","PMMoV","0.33224549889564514","-0.0033065979095066394","PR-231116-DNI-R1","FALSE"
"2","A2","18","PMMoV","0.3352540135383606","-0.0026350537789803035","PR-231116-DNI-R1","FALSE"
"2","A2","19","PMMoV","0.3399446904659271","-2.813473636028379E-4","PR-231116-DNI-R1","FALSE"
"2","A2","20","PMMoV","0.34583938121795654","0.0032763728762374073","PR-231116-DNI-R1","FALSE"
"2","A2","21","PMMoV","0.3571358323097229","0.012235853455814702","PR-231116-DNI-R1","FALSE"
"2","A2","22","PMMoV","0.3774547874927521","0.030217838126654704","PR-231116-DNI-R1","FALSE"
"2","A2","23","PMMoV","0.41187235713005066","0.062298437251764226","PR-231116-DNI-R1","FALSE"
"2","A2","24","PMMoV","0.46436235308647156","0.11245146269599594","PR-231116-DNI-R1","FALSE"
"2","A2","25","PMMoV","0.5367627143859863","0.18251485348332167","PR-231116-DNI-R1","FALSE"
"2","A2","26","PMMoV","0.6253204345703125","0.2687356031554587","PR-231116-DNI-R1","FALSE"
"2","A2","27","PMMoV","0.7228418588638306","0.36392005693678764","PR-231116-DNI-R1","FALSE"
"2","A2","28","PMMoV","0.8190428614616394","0.45778408902240736","PR-231116-DNI-R1","FALSE"
"2","A2","29","PMMoV","0.9062067270278931","0.5426109840764719","PR-231116-DNI-R1","FALSE"
"2","A2","30","PMMoV","0.9787711501121521","0.6128384366485419","PR-231116-DNI-R1","FALSE"
"2","A2","31","PMMoV","1.0369206666946411","0.6686509827188417","PR-231116-DNI-R1","FALSE"
"2","A2","32","PMMoV","1.0833739042282104","0.7127672497402219","PR-231116-DNI-R1","FALSE"
