# File Name: 2023-12-20_PMMoV_VIC.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313154
# Instrument Serial Number: 272313154
# Heated Cover Serial Number:
# Block serial number: 21211195
# Run Start Date/Time: 2023-12-20 01:30:11 PM EST
# Run End Data/Time: 2023-12-20 02:28:14 PM EST
# Run Duration: 58 minutes 2 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-22 04:01:52 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Standard Curve v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-22 04:01:59 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","FALSE","PR-231127-NEG-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","FALSE","0.04","TRUE","3","39"
"2","A2","FALSE","PR-231127-NEG-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","FALSE","0.04","TRUE","3","39"
"3","A3","FALSE","PR-231127-NEG-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","FALSE","0.04","TRUE","3","39"
"4","A4","FALSE","PR-231128-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1272192047187144","","","22.898778375630215","0.8616642776447022","22.905168158661564","0.009377317589401135","FALSE","0.04","TRUE","3","20"
"5","A5","FALSE","PR-231128-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1277086579134146","","","22.9007925752975","0.8657848791049222","22.905168158661564","0.009377317589401135","FALSE","0.04","TRUE","3","20"
"6","A6","FALSE","PR-231128-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1294979615986713","","","22.91593352505697","0.8586992950068284","22.905168158661564","0.009377317589401135","FALSE","0.04","TRUE","3","20"
"7","A7","FALSE","PR-231129-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.132921927369963","","","22.33750168188523","0.8619838755670979","22.31783249307159","0.0446225536379733","FALSE","0.04","TRUE","3","19"
"8","A8","FALSE","PR-231129-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.134402570692822","","","22.349241256332085","0.8619122419698689","22.31783249307159","0.0446225536379733","FALSE","0.04","TRUE","3","19"
"9","A9","FALSE","PR-231129-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1061440828117157","","","22.26675454099746","0.8592009541577074","22.31783249307159","0.0446225536379733","FALSE","0.04","TRUE","3","19"
"10","A10","FALSE","800000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.0967530044560028","","","19.338852598269504","0.8452701250250656","19.457265924242524","0.10530860328131308","FALSE","0.04","TRUE","3","16"
"11","A11","FALSE","800000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1170749588391822","","","19.492522324203534","0.8563669522559619","19.457265924242524","0.10530860328131308","FALSE","0.04","TRUE","3","16"
"12","A12","FALSE","800000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.110332384850645","","","19.54042285025453","0.856383114023429","19.457265924242524","0.10530860328131308","FALSE","0.04","TRUE","3","16"
"13","B1","FALSE","PR-231127-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1120564343567623","","","21.00323842395786","0.8606144074372873","21.0324588163084","0.039065006868218094","FALSE","0.04","TRUE","3","18"
"14","B2","FALSE","PR-231127-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.123213011616772","","","21.01730827887733","0.8601079632023771","21.0324588163084","0.039065006868218094","FALSE","0.04","TRUE","3","18"
"15","B3","FALSE","PR-231127-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1217261205449915","","","21.076829746090006","0.865405774367829","21.0324588163084","0.039065006868218094","FALSE","0.04","TRUE","3","18"
"16","B4","FALSE","PR-231128-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1303995837322574","","","22.72586130071511","0.8601115160582171","22.687586857625917","0.03347478304521314","FALSE","0.04","TRUE","3","20"
"17","B5","FALSE","PR-231128-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.136043872638804","","","22.673125248837508","0.8639999334738836","22.687586857625917","0.03347478304521314","FALSE","0.04","TRUE","3","19"
"18","B6","FALSE","PR-231128-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1377391063430464","","","22.663774023325125","0.865099918344956","22.687586857625917","0.03347478304521314","FALSE","0.04","TRUE","3","20"
"19","B7","FALSE","PR-231129-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1273995812398345","","","22.10061447508373","0.8658143599685992","22.097639902706348","0.0233554899911573","FALSE","0.04","TRUE","3","19"
"20","B8","FALSE","PR-231129-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1300192791080583","","","22.119365605384296","0.8638361662887083","22.097639902706348","0.0233554899911573","FALSE","0.04","TRUE","3","19"
"21","B9","FALSE","PR-231129-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1275990828725448","","","22.072939627651017","0.8671712820542171","22.097639902706348","0.0233554899911573","FALSE","0.04","TRUE","3","19"
"22","B10","FALSE","80000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1305816481992506","","","22.776711538043692","0.8647078217182061","22.812960345307932","0.031624685953534355","FALSE","0.04","TRUE","3","20"
"23","B11","FALSE","80000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1215426680389635","","","22.834910809674348","0.8721215303409228","22.812960345307932","0.031624685953534355","FALSE","0.04","TRUE","3","20"
"24","B12","FALSE","80000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.118995565210966","","","22.827258688205752","0.8701381740821611","22.812960345307932","0.031624685953534355","FALSE","0.04","TRUE","3","20"
"25","C1","FALSE","PR-231127-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1141427661698857","","","23.17241880157883","0.8764960246949438","22.97524934174876","0.20748043019453805","FALSE","0.04","TRUE","3","20"
"26","C2","FALSE","PR-231127-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1271995719229144","","","22.99452589468909","0.8633373481389354","22.97524934174876","0.20748043019453805","FALSE","0.04","TRUE","3","20"
"27","C3","FALSE","PR-231127-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1327457835712198","","","22.75880332897836","0.8634378533886896","22.97524934174876","0.20748043019453805","FALSE","0.04","TRUE","3","19"
"28","C4","FALSE","PR-231128-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1319273424775056","","","23.208616668372947","0.8638662792005324","23.18309437992981","0.09496898799280232","FALSE","0.04","TRUE","3","20"
"29","C5","FALSE","PR-231128-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1446947447684666","","","23.26269431124664","0.8658974116938438","23.18309437992981","0.09496898799280232","FALSE","0.04","TRUE","3","20"
"30","C6","FALSE","PR-231128-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1327974339936937","","","23.077972160169843","0.8601526790315918","23.18309437992981","0.09496898799280232","FALSE","0.04","TRUE","3","20"
"31","C7","FALSE","PR-231129-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.14261716340062","","","23.300522832513415","0.8646208565631424","23.284437049572357","0.03553898935287591","FALSE","0.04","TRUE","3","20"
"32","C8","FALSE","PR-231129-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1411794054160473","","","23.243699273872657","0.8594632140673524","23.284437049572357","0.03553898935287591","FALSE","0.04","TRUE","3","20"
"33","C9","FALSE","PR-231129-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1399564481325744","","","23.30908904233099","0.8686237591922393","23.284437049572357","0.03553898935287591","FALSE","0.04","TRUE","3","20"
"34","C10","FALSE","8000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.131003135038973","","","25.66043000113482","0.8782311661291994","25.593297653941722","0.05827396196149881","FALSE","0.04","TRUE","3","22"
"35","C11","FALSE","8000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1326543206018942","","","25.55575773994031","0.8735674953656528","25.593297653941722","0.05827396196149881","FALSE","0.04","TRUE","3","22"
"36","C12","FALSE","8000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1228918240870123","","","25.563705220750045","0.8654872777124722","25.593297653941722","0.05827396196149881","FALSE","0.04","TRUE","3","22"
"37","D1","FALSE","PR-231127-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1230407449659674","","","22.957632467135994","0.8690513618533655","22.747299713691856","0.20888580176025873","FALSE","0.04","TRUE","3","20"
"38","D2","FALSE","PR-231127-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1341404123180396","","","22.744375098489","0.867576456647493","22.747299713691856","0.20888580176025873","FALSE","0.04","TRUE","3","20"
"39","D3","FALSE","PR-231127-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1356672710024456","","","22.539891575450568","0.8650392217519342","22.747299713691856","0.20888580176025873","FALSE","0.04","TRUE","3","19"
"40","D4","FALSE","PR-231128-NEG-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","FALSE","0.04","TRUE","3","39"
"41","D5","FALSE","PR-231128-NEG-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","NO_AMP","0.7270173429920188","","","38.40161850640634","0.20367081405801046","","","FALSE","0.04","TRUE","3","35"
"42","D6","FALSE","PR-231128-NEG-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","FALSE","0.04","TRUE","3","39"
"43","D7","FALSE","PR-231129-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1422034603951365","","","23.419469395559908","0.863912020041366","23.32601398507025","0.10127355867836378","FALSE","0.04","TRUE","3","20"
"44","D8","FALSE","PR-231129-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.14418503070768","","","23.21841018948715","0.8657630162985438","23.32601398507025","0.10127355867836378","FALSE","0.04","TRUE","3","20"
"45","D9","FALSE","PR-231129-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1431409107725221","","","23.340162370163704","0.8670782530508232","23.32601398507025","0.10127355867836378","FALSE","0.04","TRUE","3","20"
"46","D10","FALSE","800.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.127636566778319","","","29.049627495272453","0.8617709434894909","29.12228619659358","0.08411305661569293","FALSE","0.04","TRUE","3","26"
"47","D11","FALSE","800.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1258470024850424","","","29.102798514594284","0.8734226758736248","29.12228619659358","0.08411305661569293","FALSE","0.04","TRUE","3","26"
"48","D12","FALSE","800.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.130732159220488","","","29.21443257991401","0.8693970614752903","29.12228619659358","0.08411305661569293","FALSE","0.04","TRUE","3","26"
"49","E1","FALSE","PR-231127-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1244744643984426","","","21.757508023881464","0.8672718117147776","21.668330534550353","0.08058828925632788","FALSE","0.04","TRUE","3","19"
